Number of Iterations: 216
X Poses,Y Poses
Iteration 62,"[[-1.2665426123806256, -0.7054250313262815, -0.9729778795604677, 0.2510815586294531, -0.014642956552312958], [-0.34368669751010944, -0.5014537644953422, 0.4828208993760028, 0.3441259759475556, -0.3736644481693795]]"
Iteration 63,"[[-1.2660741326867107, -0.701537371326282, -0.9719842589526834, 0.2576765036122599, -0.008769223520161379], [-0.3442933049988158, -0.5027603646007013, 0.48287997639217833, 0.3439718628573159, -0.3763536082062461]]"
Iteration 64,"[[-1.2655743288485326, -0.6976135671122449, -0.9708958026246345, 0.2642710294533884, -0.002888035723001864], [-0.34485885136904526, -0.5039650861843822, 0.48292677916962423, 0.34381170461412597, -0.3790276100335413]]"
Iteration 65,"[[-1.2650898833771274, -0.6936560526190891, -0.9697033668672098, 0.27086584161695687, 0.0029993625828745873], [-0.34540463292647394, -0.5052328561917833, 0.4829209118186064, 0.34365137265750023, -0.3816834128916346]]"
Iteration 66,"[[-1.2645889923264018, -0.6897270812380307, -0.9685593899730118, 0.27746078806270946, 0.008891351041207515], [-0.34596982893970696, -0.5064050067429015, 0.4828925345504304, 0.3434968062488872, -0.3843165000279475]]"
Iteration 67,"[[-1.2640597165893352, -0.6858382570433267, -0.9673706749252048, 0.28405571112800565, 0.014789658440518078], [-0.34650777514356096, -0.5075325558608427, 0.4828586037234754, 0.34334268011516966, -0.38693025486602417]]"
Iteration 68,"[[-1.2635005411041378, -0.6819614521095243, -0.966129877285349, 0.2906530511734485, 0.020695541066220166], [-0.34699780267166525, -0.5086694987838557, 0.48283805312700767, 0.34318504643556064, -0.389527508572137]]"
Iteration 69,"[[-1.2629246367531424, -0.6780675051624959, -0.9649353280585038, 0.29725072843237055, 0.026609863373937205], [-0.34749835074515084, -0.5096889579090772, 0.4828060904719078, 0.34302849080872094, -0.39211059931777287]]"
Iteration 70,"[[-1.2623226263371339, -0.6742318999938224, -0.9636932803269638, 0.3038407276950834, 0.03252793092738542], [-0.3479705308924797, -0.5107012816612044, 0.48277059218780444, 0.3428796632131797, -0.3946683322933767]]"
Iteration 71,"[[-1.261708557434191, -0.6703288036640562, -0.9623908935604284, 0.31043150842305123, 0.03845157158873376], [-0.348469516033557, -0.5116702717381798, 0.48266664071798915, 0.3427311238596515, -0.39720389786350413]]"
Iteration 72,"[[-1.261074387077961, -0.6664391794213056, -0.9610490250003609, 0.3170172958551632, 0.044378867554674795], [-0.34896080024985476, -0.5125089943084559, 0.4825404014833824, 0.34258853680509854, -0.3997119119456753]]"
Iteration 73,"[[-1.2604591446264122, -0.662548675722515, -0.9597520015740808, 0.323602249726787, 0.050316014676047835], [-0.34943617947941313, -0.5132853067154503, 0.4824194017108342, 0.34244840583873726, -0.4022060103129294]]"
Iteration 74,"[[-1.2597841786503128, -0.6586510075581442, -0.9584551445764841, 0.33018254013324716, 0.056258928573641565], [-0.34990714519375815, -0.5140183258319595, 0.48230331757223766, 0.3423146613775274, -0.4046772170199453]]"
Iteration 75,"[[-1.2591262067542845, -0.6547878965955019, -0.9571596729696215, 0.3367657623959023, 0.06221155636094851], [-0.3503549038822315, -0.5147164137505704, 0.4821851096044276, 0.3421803450232988, -0.40713436249169044]]"
Iteration 76,"[[-1.2584262175654273, -0.6509320935922913, -0.9558723966993357, 0.3433385048898258, 0.06816854308586404], [-0.35084229241705656, -0.5153631632986652, 0.48202836465659815, 0.3420584344819436, -0.4095655986367141]]"
